team,group_stage_exit_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability,group_stage_exit_probability_standard_error,group_stage_exit_probability_ci_low,group_stage_exit_probability_ci_high,round_of_32_probability_standard_error,round_of_32_probability_ci_low,round_of_32_probability_ci_high,round_of_16_probability_standard_error,round_of_16_probability_ci_low,round_of_16_probability_ci_high,quarter_final_probability_standard_error,quarter_final_probability_ci_low,quarter_final_probability_ci_high,semi_final_probability_standard_error,semi_final_probability_ci_low,semi_final_probability_ci_high,final_probability_standard_error,final_probability_ci_low,final_probability_ci_high,champion_probability_standard_error,champion_probability_ci_low,champion_probability_ci_high,simulations_used
Morocco,0.12,0.88,0.38,0.22,0.14,0.06,0.0,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.04595650117230423,0.7899252577022837,0.9700747422977163,0.06864400920692205,0.2454577419544328,0.5145422580455672,0.05858327406350724,0.10517678283552581,0.33482321716447416,0.04907137658554119,0.043820101892339286,0.23617989810766074,0.03358571124749333,0.0,0.12582799404508693,0.0,0.0,0.0,50
Scotland,0.4,0.6,0.26,0.12,0.0,0.0,0.0,0.06928203230275509,0.2642072166866001,0.5357927833134,0.06928203230275509,0.46420721668660003,0.7357927833133999,0.06203224967708329,0.13841679063291676,0.38158320936708323,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
United States,0.30000000000000004,0.7,0.44,0.32,0.16,0.12,0.0,0.06480740698407861,0.17297748231120597,0.4270225176887941,0.06480740698407861,0.5729774823112059,0.827022517688794,0.07019971509913699,0.3024085584056915,0.5775914415943085,0.06596969000988256,0.19069940758063017,0.4493005924193698,0.05184592558726288,0.05838198584896476,0.26161801415103525,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.0,0.0,0.0,50
Australia,0.24,0.76,0.4,0.22,0.02,0.0,0.0,0.060398675482166,0.12161859605495463,0.35838140394504536,0.060398675482166,0.6416185960549546,0.8783814039450454,0.06928203230275509,0.2642072166866001,0.5357927833134,0.05858327406350724,0.10517678283552581,0.33482321716447416,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,0.0,0.0,0.0,50
Paraguay,0.4,0.6,0.28,0.14,0.06,0.02,0.0,0.06928203230275509,0.2642072166866001,0.5357927833134,0.06928203230275509,0.46420721668660003,0.7357927833133999,0.06349803146555018,0.15554385832752168,0.40445614167247834,0.04907137658554119,0.043820101892339286,0.23617989810766074,0.03358571124749333,0.0,0.12582799404508693,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,50
Turkiye,0.36,0.64,0.38,0.22,0.12,0.04,0.0,0.06788225099390856,0.22695078805193922,0.49304921194806073,0.06788225099390856,0.5069507880519393,0.7730492119480608,0.06864400920692205,0.2454577419544328,0.5145422580455672,0.05858327406350724,0.10517678283552581,0.33482321716447416,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.027712812921102035,0.0,0.09431711332536,0.0,0.0,0.0,50
Germany,0.12,0.88,0.56,0.32,0.26,0.12,0.0,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.04595650117230423,0.7899252577022837,0.9700747422977163,0.07019971509913697,0.4224085584056916,0.6975914415943085,0.06596969000988256,0.19069940758063017,0.4493005924193698,0.06203224967708329,0.13841679063291676,0.38158320936708323,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.0,0.0,0.0,50
Ecuador,0.24,0.76,0.44,0.2,0.12,0.02,0.0,0.060398675482166,0.12161859605495463,0.35838140394504536,0.060398675482166,0.6416185960549546,0.8783814039450454,0.07019971509913699,0.3024085584056915,0.5775914415943085,0.05656854249492381,0.08912565670994935,0.3108743432900507,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,50
Ivory Coast,0.33999999999999997,0.66,0.2,0.04,0.0,0.0,0.0,0.0669925368977769,0.20869462768035724,0.4713053723196427,0.0669925368977769,0.5286946276803572,0.7913053723196428,0.05656854249492381,0.08912565670994935,0.3108743432900507,0.027712812921102035,0.0,0.09431711332536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Curacao,0.5800000000000001,0.42,0.08,0.06,0.04,0.0,0.0,0.06979971346646059,0.4431925616057373,0.7168074383942629,0.06979971346646059,0.28319256160573725,0.5568074383942627,0.03836665218650176,0.0048013617144565535,0.15519863828554345,0.03358571124749333,0.0,0.12582799404508693,0.027712812921102035,0.0,0.09431711332536,0.0,0.0,0.0,0.0,0.0,0.0,50
