simulation_id,match_id,stage,team_a,team_b,goals_a,goals_b,winner,went_to_extra_time,went_to_penalties
3,G028,group,ECU,CUW,2,2,,False,False
3,G029,group,CUW,CIV,1,2,CIV,False,False
3,G030,group,ECU,GER,2,1,ECU,False,False
3,G031,group,NED,JPN,2,2,,False,False
3,G032,group,SWE,TUN,2,0,SWE,False,False
3,G033,group,NED,SWE,3,2,NED,False,False
3,G034,group,TUN,JPN,3,5,JPN,False,False
3,G035,group,JPN,SWE,2,3,SWE,False,False
3,G036,group,TUN,NED,0,2,NED,False,False
3,G037,group,IRN,NZL,2,0,IRN,False,False
3,G038,group,BEL,EGY,1,2,EGY,False,False
3,G039,group,BEL,IRN,5,1,BEL,False,False
3,G040,group,NZL,EGY,2,0,NZL,False,False
3,G041,group,EGY,IRN,2,4,IRN,False,False
3,G042,group,NZL,BEL,3,5,BEL,False,False
3,G043,group,KSA,URU,2,2,,False,False
3,G044,group,ESP,CPV,2,1,ESP,False,False
3,G045,group,URU,CPV,2,0,URU,False,False
3,G046,group,ESP,KSA,3,2,ESP,False,False
3,G047,group,CPV,KSA,0,3,KSA,False,False
3,G048,group,URU,ESP,3,1,URU,False,False
3,G049,group,FRA,SEN,2,2,,False,False
3,G050,group,IRQ,NOR,2,2,,False,False
3,G051,group,NOR,SEN,1,3,SEN,False,False
3,G052,group,FRA,IRQ,2,0,FRA,False,False
3,G053,group,NOR,FRA,1,3,FRA,False,False
3,G054,group,SEN,IRQ,1,2,IRQ,False,False
3,G055,group,ARG,ALG,4,1,ARG,False,False
3,G056,group,AUT,JOR,1,0,AUT,False,False
3,G057,group,ARG,AUT,1,1,,False,False
3,G058,group,JOR,ALG,2,1,JOR,False,False
3,G059,group,ALG,AUT,2,4,AUT,False,False
3,G060,group,JOR,ARG,0,2,ARG,False,False
3,G061,group,POR,COD,2,3,COD,False,False
3,G062,group,UZB,COL,1,3,COL,False,False
3,G063,group,POR,UZB,1,2,UZB,False,False
3,G064,group,COL,COD,3,2,COL,False,False
3,G065,group,COL,POR,3,1,COL,False,False
3,G066,group,COD,UZB,0,0,,False,False
3,G067,group,GHA,PAN,3,0,GHA,False,False
3,G068,group,ENG,CRO,2,3,CRO,False,False
3,G069,group,ENG,GHA,2,1,ENG,False,False
3,G070,group,PAN,CRO,1,1,,False,False
3,G071,group,PAN,ENG,3,2,PAN,False,False
3,G072,group,CRO,GHA,1,0,CRO,False,False
3,round_of_32_1,round_of_32,USA,GHA,1,0,USA,False,False
3,round_of_32_2,round_of_32,COL,AUS,2,2,COL,True,True
3,round_of_32_3,round_of_32,MAR,SUI,0,0,MAR,True,True
3,round_of_32_4,round_of_32,KOR,UZB,1,0,KOR,False,False
3,round_of_32_5,round_of_32,ARG,IRQ,1,2,IRQ,False,False
3,round_of_32_6,round_of_32,FRA,CUW,3,1,FRA,False,False
3,round_of_32_7,round_of_32,URU,JPN,1,1,URU,True,True
3,round_of_32_8,round_of_32,NED,KSA,1,2,KSA,False,False
3,round_of_32_9,round_of_32,ECU,TUR,1,1,ECU,True,True
3,round_of_32_10,round_of_32,CRO,PAN,3,2,CRO,False,False
3,round_of_32_11,round_of_32,CAN,COD,3,0,CAN,False,False
3,round_of_32_12,round_of_32,BEL,SEN,4,0,BEL,False,False
3,round_of_32_13,round_of_32,AUT,MEX,2,0,AUT,False,False
3,round_of_32_14,round_of_32,BIH,ESP,2,3,ESP,False,False
3,round_of_32_15,round_of_32,BRA,IRN,1,0,BRA,False,False
3,round_of_32_16,round_of_32,CIV,SWE,4,5,SWE,False,False
3,round_of_16_1,round_of_16,USA,COL,4,3,USA,False,False
3,round_of_16_2,round_of_16,MAR,KOR,4,0,MAR,False,False
3,round_of_16_3,round_of_16,IRQ,FRA,3,1,IRQ,False,False
3,round_of_16_4,round_of_16,URU,KSA,4,3,URU,False,False
3,round_of_16_5,round_of_16,ECU,CRO,4,1,ECU,False,False
3,round_of_16_6,round_of_16,CAN,BEL,0,4,BEL,False,False
3,round_of_16_7,round_of_16,AUT,ESP,2,3,ESP,False,False
3,round_of_16_8,round_of_16,BRA,SWE,3,2,BRA,False,False
3,quarter_final_1,quarter_final,USA,MAR,0,2,MAR,False,False
3,quarter_final_2,quarter_final,IRQ,URU,2,4,URU,False,False
3,quarter_final_3,quarter_final,ECU,BEL,1,4,BEL,False,False
3,quarter_final_4,quarter_final,ESP,BRA,3,1,ESP,False,False
3,semi_final_1,semi_final,MAR,URU,2,3,URU,False,False
3,semi_final_2,semi_final,BEL,ESP,0,2,ESP,False,False
3,final_1,final,URU,ESP,0,3,ESP,False,False
4,G001,group,MEX,RSA,0,1,RSA,False,False
4,G002,group,KOR,CZE,0,3,CZE,False,False
4,G003,group,CZE,RSA,3,0,CZE,False,False
4,G004,group,MEX,KOR,1,1,,False,False
4,G005,group,CZE,MEX,0,3,MEX,False,False
4,G006,group,RSA,KOR,2,4,KOR,False,False
4,G007,group,CAN,BIH,1,1,,False,False
4,G008,group,QAT,SUI,2,2,,False,False
4,G009,group,SUI,BIH,7,0,SUI,False,False
4,G010,group,CAN,QAT,1,5,QAT,False,False
4,G011,group,SUI,CAN,1,0,SUI,False,False
4,G012,group,BIH,QAT,6,1,BIH,False,False
4,G013,group,BRA,MAR,2,1,BRA,False,False
4,G014,group,HAI,SCO,0,3,SCO,False,False
4,G015,group,SCO,MAR,4,2,SCO,False,False
4,G016,group,BRA,HAI,4,2,BRA,False,False
4,G017,group,SCO,BRA,1,1,,False,False
4,G018,group,MAR,HAI,3,2,MAR,False,False
4,G019,group,USA,PAR,3,2,USA,False,False
4,G020,group,AUS,TUR,0,3,TUR,False,False
4,G021,group,TUR,PAR,3,5,PAR,False,False
4,G022,group,USA,AUS,1,2,AUS,False,False
4,G023,group,TUR,USA,1,1,,False,False
4,G024,group,PAR,AUS,1,4,AUS,False,False
4,G025,group,CIV,ECU,1,2,ECU,False,False
4,G026,group,GER,CUW,5,3,GER,False,False
4,G027,group,GER,CIV,1,1,,False,False
4,G028,group,ECU,CUW,1,1,,False,False
4,G029,group,CUW,CIV,5,1,CUW,False,False
4,G030,group,ECU,GER,4,4,,False,False
4,G031,group,NED,JPN,3,3,,False,False
4,G032,group,SWE,TUN,1,0,SWE,False,False
4,G033,group,NED,SWE,2,0,NED,False,False
4,G034,group,TUN,JPN,0,2,JPN,False,False
4,G035,group,JPN,SWE,2,4,SWE,False,False
4,G036,group,TUN,NED,3,1,TUN,False,False
4,G037,group,IRN,NZL,4,3,IRN,False,False
4,G038,group,BEL,EGY,1,2,EGY,False,False
4,G039,group,BEL,IRN,4,1,BEL,False,False
4,G040,group,NZL,EGY,0,2,EGY,False,False
4,G041,group,EGY,IRN,0,2,IRN,False,False
4,G042,group,NZL,BEL,0,4,BEL,False,False
4,G043,group,KSA,URU,2,3,URU,False,False
4,G044,group,ESP,CPV,6,2,ESP,False,False
4,G045,group,URU,CPV,2,3,CPV,False,False
4,G046,group,ESP,KSA,2,0,ESP,False,False
4,G047,group,CPV,KSA,1,0,CPV,False,False
4,G048,group,URU,ESP,2,0,URU,False,False
4,G049,group,FRA,SEN,5,2,FRA,False,False
4,G050,group,IRQ,NOR,0,3,NOR,False,False
4,G051,group,NOR,SEN,2,1,NOR,False,False
4,G052,group,FRA,IRQ,2,2,,False,False
4,G053,group,NOR,FRA,1,1,,False,False
4,G054,group,SEN,IRQ,2,0,SEN,False,False
4,G055,group,ARG,ALG,3,2,ARG,False,False
4,G056,group,AUT,JOR,3,1,AUT,False,False
4,G057,group,ARG,AUT,2,3,AUT,False,False
4,G058,group,JOR,ALG,3,2,JOR,False,False
4,G059,group,ALG,AUT,1,5,AUT,False,False
4,G060,group,JOR,ARG,1,2,ARG,False,False
4,G061,group,POR,COD,6,3,POR,False,False
4,G062,group,UZB,COL,2,1,UZB,False,False
4,G063,group,POR,UZB,0,2,UZB,False,False
4,G064,group,COL,COD,3,2,COL,False,False
4,G065,group,COL,POR,2,1,COL,False,False
4,G066,group,COD,UZB,0,0,,False,False
4,G067,group,GHA,PAN,1,1,,False,False
4,G068,group,ENG,CRO,5,1,ENG,False,False
4,G069,group,ENG,GHA,1,0,ENG,False,False
4,G070,group,PAN,CRO,1,2,CRO,False,False
4,G071,group,PAN,ENG,0,0,,False,False
4,G072,group,CRO,GHA,1,2,GHA,False,False
4,round_of_32_1,round_of_32,AUT,POR,3,6,POR,False,False
4,round_of_32_2,round_of_32,SUI,BIH,1,2,BIH,False,False
4,round_of_32_3,round_of_32,SCO,KOR,2,0,SCO,False,False
4,round_of_32_4,round_of_32,ENG,USA,3,0,ENG,False,False
4,round_of_32_5,round_of_32,NOR,NED,2,0,NOR,False,False
4,round_of_32_6,round_of_32,UZB,CUW,1,2,CUW,False,False
4,round_of_32_7,round_of_32,BEL,CPV,5,1,BEL,False,False
4,round_of_32_8,round_of_32,ESP,IRN,1,0,ESP,True,False
4,round_of_32_9,round_of_32,CZE,QAT,4,0,CZE,False,False
4,round_of_32_10,round_of_32,AUS,GHA,0,1,GHA,False,False
4,round_of_32_11,round_of_32,SWE,JPN,2,3,JPN,True,False
4,round_of_32_12,round_of_32,GER,TUR,2,3,TUR,False,False
4,round_of_32_13,round_of_32,BRA,MEX,4,3,BRA,False,False
4,round_of_32_14,round_of_32,URU,ECU,1,1,ECU,True,True
4,round_of_32_15,round_of_32,ARG,FRA,2,3,FRA,False,False
4,round_of_32_16,round_of_32,COL,EGY,0,2,EGY,False,False
4,round_of_16_1,round_of_16,POR,BIH,4,0,POR,False,False
4,round_of_16_2,round_of_16,SCO,ENG,1,4,ENG,False,False
4,round_of_16_3,round_of_16,NOR,CUW,1,1,CUW,True,True
4,round_of_16_4,round_of_16,BEL,ESP,2,1,BEL,True,False
4,round_of_16_5,round_of_16,CZE,GHA,4,3,CZE,False,False
4,round_of_16_6,round_of_16,JPN,TUR,3,1,JPN,False,False
4,round_of_16_7,round_of_16,BRA,ECU,2,1,BRA,False,False
4,round_of_16_8,round_of_16,FRA,EGY,3,1,FRA,False,False
4,quarter_final_1,quarter_final,POR,ENG,0,2,ENG,False,False
4,quarter_final_2,quarter_final,CUW,BEL,0,2,BEL,False,False
4,quarter_final_3,quarter_final,CZE,JPN,1,2,JPN,False,False
4,quarter_final_4,quarter_final,BRA,FRA,3,3,BRA,True,True
4,semi_final_1,semi_final,ENG,BEL,2,1,ENG,False,False
4,semi_final_2,semi_final,JPN,BRA,1,2,BRA,False,False
4,final_1,final,ENG,BRA,4,2,ENG,False,False
5,G001,group,MEX,RSA,0,0,,False,False
5,G002,group,KOR,CZE,2,2,,False,False
5,G003,group,CZE,RSA,1,2,RSA,False,False
5,G004,group,MEX,KOR,2,2,,False,False
5,G005,group,CZE,MEX,2,0,CZE,False,False
5,G006,group,RSA,KOR,2,3,KOR,False,False
5,G007,group,CAN,BIH,2,0,CAN,False,False
5,G008,group,QAT,SUI,2,2,,False,False
5,G009,group,SUI,BIH,3,0,SUI,False,False
5,G010,group,CAN,QAT,2,0,CAN,False,False
5,G011,group,SUI,CAN,2,1,SUI,False,False
5,G012,group,BIH,QAT,1,5,QAT,False,False
5,G013,group,BRA,MAR,0,1,MAR,False,False
5,G014,group,HAI,SCO,1,2,SCO,False,False
5,G015,group,SCO,MAR,1,4,MAR,False,False
5,G016,group,BRA,HAI,4,1,BRA,False,False
5,G017,group,SCO,BRA,0,2,BRA,False,False
5,G018,group,MAR,HAI,5,1,MAR,False,False
5,G019,group,USA,PAR,2,4,PAR,False,False
5,G020,group,AUS,TUR,1,0,AUS,False,False
5,G021,group,TUR,PAR,0,4,PAR,False,False
5,G022,group,USA,AUS,3,1,USA,False,False
5,G023,group,TUR,USA,0,3,USA,False,False
5,G024,group,PAR,AUS,3,5,AUS,False,False
5,G025,group,CIV,ECU,0,1,ECU,False,False
5,G026,group,GER,CUW,6,0,GER,False,False
5,G027,group,GER,CIV,6,2,GER,False,False
5,G028,group,ECU,CUW,3,0,ECU,False,False
5,G029,group,CUW,CIV,2,2,,False,False
5,G030,group,ECU,GER,1,1,,False,False
5,G031,group,NED,JPN,0,2,JPN,False,False
5,G032,group,SWE,TUN,5,0,SWE,False,False
5,G033,group,NED,SWE,4,5,SWE,False,False
5,G034,group,TUN,JPN,1,6,JPN,False,False
5,G035,group,JPN,SWE,1,3,SWE,False,False
5,G036,group,TUN,NED,0,0,,False,False
5,G037,group,IRN,NZL,1,1,,False,False
5,G038,group,BEL,EGY,1,3,EGY,False,False
5,G039,group,BEL,IRN,1,2,IRN,False,False
5,G040,group,NZL,EGY,1,2,EGY,False,False
5,G041,group,EGY,IRN,0,2,IRN,False,False
5,G042,group,NZL,BEL,0,4,BEL,False,False
5,G043,group,KSA,URU,1,3,URU,False,False
5,G044,group,ESP,CPV,3,2,ESP,False,False
5,G045,group,URU,CPV,4,0,URU,False,False
5,G046,group,ESP,KSA,5,1,ESP,False,False
5,G047,group,CPV,KSA,1,2,KSA,False,False
5,G048,group,URU,ESP,3,3,,False,False
5,G049,group,FRA,SEN,2,1,FRA,False,False
5,G050,group,IRQ,NOR,0,2,NOR,False,False
5,G051,group,NOR,SEN,0,3,SEN,False,False
5,G052,group,FRA,IRQ,4,2,FRA,False,False
5,G053,group,NOR,FRA,1,3,FRA,False,False
5,G054,group,SEN,IRQ,3,1,SEN,False,False
5,G055,group,ARG,ALG,3,0,ARG,False,False
5,G056,group,AUT,JOR,1,1,,False,False
5,G057,group,ARG,AUT,3,2,ARG,False,False
5,G058,group,JOR,ALG,1,2,ALG,False,False
5,G059,group,ALG,AUT,2,3,AUT,False,False
5,G060,group,JOR,ARG,2,3,ARG,False,False
5,G061,group,POR,COD,0,1,COD,False,False
5,G062,group,UZB,COL,2,2,,False,False
5,G063,group,POR,UZB,3,0,POR,False,False
5,G064,group,COL,COD,2,0,COL,False,False
5,G065,group,COL,POR,0,0,,False,False
5,G066,group,COD,UZB,0,0,,False,False
5,G067,group,GHA,PAN,1,3,PAN,False,False
5,G068,group,ENG,CRO,3,0,ENG,False,False
5,G069,group,ENG,GHA,0,4,GHA,False,False
5,G070,group,PAN,CRO,1,4,CRO,False,False
5,G071,group,PAN,ENG,0,1,ENG,False,False
5,G072,group,CRO,GHA,3,2,CRO,False,False
5,round_of_32_1,round_of_32,SWE,NOR,3,2,SWE,True,False
5,round_of_32_2,round_of_32,MAR,ALG,1,0,MAR,False,False
5,round_of_32_3,round_of_32,FRA,BEL,3,2,FRA,False,False
